season,age,pos,per,x3p_ar
2026,29,C,13.2,0.824
2026,27,SG,25.2,0.45
2026,26,C,25.3,0.152
2026,25,SG,12.7,0.833
2026,26,C,15.5,0.507
2026,20,SG,13.1,0.478
2026,23,SG,15.5,0.585
2026,19,SF,10.6,0.241
2026,20,SF,12.3,0.481
2026,31,SF,11.4,0.792
2026,25,PF,9.3,0.378
2026,25,C,14.9,0.4
2026,23,PG,16.9,0.413
2026,21,SG,5.2,0.52
2026,29,PG,12.2,0.464
2026,29,C,17.5,0.138
2026,20,PF,9.7,0.632
2026,23,SG,6.4,0.574
2026,23,PF,6.1,0.706
2026,19,SG,4.9,0.486
2026,31,C,5.1,0.4
2026,20,C,21.1,0.216
2026,25,SG,11.5,0.789
2026,32,PG,11.9,0.391
2026,23,PG,15.2,0.615
2026,23,C,21.2,0.171
2026,22,SF,13.4,0.633
2026,27,SG,16.3,0.327
2026,28,SG,13.1,0.71
2026,25,SG,7.4,0.489
2026,24,C,15.7,0.219
2026,22,SG,15.6,0.372
2026,23,PG,13.4,0.573
2026,24,SG,6.7,0.597
2026,21,PG,19.4,0.567
2026,31,PF,19.2,0.269
2026,26,SG,14.5,0.562
2026,23,PG,8.1,0.372
2026,23,PG,8.7,0.679
2026,31,SG,10.3,0.612
2026,28,SG,15.1,0.437
2026,25,C,18.5,0.558
2026,22,PF,14.2,0.482
2026,21,SG,9.7,0.486
2026,22,PF,10.9,0.361
2026,25,SG,15.9,0.662
2026,29,PG,12.9,0.322
2026,24,C,15.7,0.333
2026,23,SG,7.7,0.533
2026,24,PG,18.6,0.566
2026,30,SF,7.7,0.389
2026,24,PF,-5.4,1
2026,39,SG,11,1
2026,23,SG,10.2,0.35
2026,24,SG,15.2,0.341
2026,23,SF,15.8,0.151
2026,23,SF,14.6,0.094
2026,35,SF,9.7,0.746
2026,28,SG,21.4,0.6
2026,27,C,14.6,0.481
2026,25,PF,83.8,0.5
2026,25,PF,14.6,0.371
2026,27,PF,12.1,0.472
2026,30,C,20.5,0.344
2026,19,PG,2.3,0.667
2026,24,SG,9.4,0.48
2026,27,SG,8.1,0.714
2026,29,C,14.7,0.587
2026,25,PF,2.2,0.625
2026,23,SG,14.6,0.543
2026,33,C,21.3,0.083
2026,26,PF,10.6,0.28
2026,25,SG,13.1,0.534
2026,29,PG,5.2,0.852
2026,35,C,17.6,0.381
2026,22,C,9.7,0.473
2026,29,PF,9,0.744
2026,24,SF,19.7,0.271
2026,23,PF,9.1,0.304
2026,22,PF,7.5,0.503
2026,22,SG,11.2,0.55
2026,26,PG,11,0.632
2026,21,PF,12.4,0.409
2026,21,SG,10.3,0.658
2026,21,C,20.2,0.271
2026,27,PF,13.1,0.352
2026,28,SG,9,0.941
2026,25,PF,15.3,0.205
2026,24,SG,7.6,0.5
2026,23,SF,13.9,0.367
2026,22,SG,11.1,0.545
2026,22,C,25.9,0.262
2026,22,SG,12.6,0.294
2026,37,SF,15.5,0.443
2026,25,SG,19.1,0.518
2026,31,SG,15.7,0.567
2026,21,SF,14.5,0.338
2026,27,SG,14.4,0.548
2026,30,SF,14,0.359
2026,26,PG,13.1,0.321
2026,21,SG,0.5,0.5
2026,24,SG,13.8,0.033
2026,23,PF,11.3,0.837
2026,31,PF,9.3,0.5
2026,24,PF,8.8,0.559
2026,28,C,22.3,0.122
2026,25,SG,11.6,0.556
2026,25,PF,21.6,0.021
2026,24,SF,9.2,0.72
2026,25,PF,6.3,0.671
2026,21,PF,18.8,0.526
2026,30,C,7.5,0.673
2026,20,C,4.2,0.4
2026,23,SG,7.4,0.864
2026,25,PG,8.6,0.4
2026,27,PG,16.7,0.371
2025,25,C,13.6,0.11
2025,31,C,16.6,0.012
2025,27,C,18.9,0.199
2025,24,SG,12,0.474
2025,24,PF,16.8,0.503
2025,26,SG,11.6,0.601
2025,21,SG,2.9,0.415
2025,29,SG,13.7,0.716
2025,26,C,22.1,0.008
2025,26,PG,13.4,0.593
2025,31,PF,15.1,0.231
2025,31,PF,14.8,0.308
2025,31,SF,15.3,0.134
2025,30,PF,30.5,0.048
2025,24,PG,14.2,0.401
2025,27,PF,15.4,0.448
2025,22,SF,3.5,0.368
2025,24,SF,17.7,0.405
2025,26,C,17.7,0.068
2025,25,PF,18.4,0.179
2025,25,C,19.9,0.141
2025,25,PF,15.7,0.257
2025,23,SF,11.8,0.464
2025,22,SF,16.2,0.657
2025,22,SF,14.5,0.636
2025,22,SF,45.4,1
2025,23,PG,19.1,0.526
2025,27,PG,12.2,0.802
2025,26,C,13.9,0.482
2025,26,C,14.5,0.485
2025,26,C,10.6,0.444
2025,22,PF,20,0.299
2025,26,SG,17.9,0.411
2025,25,PG,12.9,0.438
2025,21,SF,14.6,0.239
2025,32,PF,14.9,0.527
2025,23,PF,17.8,0.263
2025,24,SF,16.5,0.312
2025,21,SF,9.8,0.789
2025,23,SF,10.7,0.746
2025,36,PF,10.3,0.853
2025,24,SG,6.3,0.431
2025,31,SG,15.2,0.38
2025,28,SG,14.4,0.715
2025,24,SF,12.3,0.446
2025,24,SF,8.5,0.447
2025,24,SF,22.3,0.429
2025,24,SF,29.8,0.455
2025,23,PG,7.5,0.374
2025,23,PG,7.2,0.377
2025,25,C,19.2,0.083
2025,21,PG,11.6,0.315
2025,32,SG,11.1,0.587
2025,32,SG,7.6,0.652
2025,32,SG,14,0.534
2025,25,PF,18.4,0.508
2025,21,C,16.5,0.005
2025,28,SG,19.3,0.388
2025,23,SG,12.7,0.367
2025,32,PF,18.7,0.522
2025,25,PG,9.7,0.417
2025,27,C,23.2,0.067
2025,21,SG,12,0.442
2025,23,SG,16,0.273
2025,23,SF,-0.1,1
2025,28,SF,14,0.391
2025,26,PF,17.7,0.413
2025,26,SF,9.8,0.462
2025,32,PG,15.8,0.233
2025,29,SF,11,0.524
2025,24,SF,12.8,0.394
2025,28,PG,10.9,0.262
2025,28,PG,12.3,0.275
2025,28,PG,10.1,0.253
2025,28,SF,17.8,0.32
2025,25,PF,10.8,0.361
2025,28,PG,21.6,0.331
2025,27,C,17.2,0.461
2025,27,C,15.8,0.607
2025,27,C,17.4,0.447
2025,21,SG,10.5,0.404
2025,33,SG,12.8,0.764
2025,24,SG,15.6,0.373
2025,24,PG,17.7,0.233
2025,24,SG,14.5,0.462
2025,35,SF,22.4,0.174
2025,35,PF,22.8,0.137
2025,35,SF,22.2,0.204
2025,20,SF,12.5,0.479
2025,25,SF,11.4,0.506
2025,31,SG,9.9,0.607
2025,24,PF,12.5,0.503
2025,27,PF,4.6,0.577
2025,30,C,17.7,0.003
2025,25,C,17.6,0.68
2025,19,PG,9,0.544
2025,22,PG,10.8,0.48
2025,29,PG,12.2,0.719
2025,25,C,13.7,0.322
2025,24,SG,-2.6,0.429
2025,30,SG,15.9,0.541
2025,24,C,11.3,0.163
2025,24,C,7.4,0.4
2025,24,C,10.1,0.125
2025,24,C,16.5,0.167
2025,20,PG,13.7,0.337
2025,23,SF,15.7,0.47
2025,23,SF,12.2,0.722
2025,19,SG,9.1,0.542
2025,23,SG,9.4,0.355
2025,21,SG,10.4,0.532
2025,21,SG,10.6,0.566
2025,21,SG,10.2,0.5
2025,20,SF,6.7,0.433
2025,20,SF,11.2,0.389
2025,20,SF,2.7,0.5
2025,28,PF,17.6,0.045
2025,23,SG,12,0.425
2025,32,SG,14.5,0.471
2025,25,C,16.5,0.037
2025,20,C,17.4,0.147
2025,20,PF,9.2,0.702
2025,27,SG,11.2,0.484
2025,20,PG,9.7,0.305
2025,27,PF,19,0.279
2025,27,PF,16,0.351
2025,27,C,14.4,0.348
2025,27,PF,17.2,0.353
2025,37,PG,13.3,0.662
2025,32,SG,12.1,0.458
2025,20,SF,10.8,0.359
2025,23,SF,11.6,0.46
2025,34,SF,12.9,0.733
2025,34,SF,17.2,0.778
2025,34,SF,10.5,0.689
2025,23,SF,9.2,0.455
2025,34,PF,6.6,0.682
2025,21,SG,-10.7,0.429
2025,23,PG,20.6,0.287
2025,34,SG,12.2,0.531
2025,36,PG,21.5,0.623
2025,19,SG,6.3,0.613
2025,21,SG,15.6,0.255
2025,23,SF,9.9,0.495
2025,31,PF,26.3,0.136
2025,31,C,27.1,0.124
2025,31,PF,21.7,0.197
2025,22,PG,6.5,0.529
2025,22,SG,10.2,0.372
2025,27,SG,-4,0.5
2025,23,PG,13.9,0.636
2025,35,SF,17.7,0.196
2025,23,C,16.5,0.021
2025,21,SG,10.9,0.504
2025,21,C,11.5,0.568
2025,20,PG,10.2,0.351
2025,31,PG,13,0.478
2025,28,SG,14.1,0.739
2025,25,PG,24.1,0.469
2025,25,PG,24.2,0.455
2025,25,PG,23.9,0.481
2025,25,SF,11.3,0.696
2025,25,SG,12.8,0.421
2025,27,PG,16.1,0.304
2025,28,SG,9.5,1
2025,31,C,16,0.085
2025,27,SG,16.5,0.577
2025,24,SG,10.1,0.7
2025,25,SG,12.2,0.429
2025,30,PG,11.3,0.513
2025,22,SF,10.7,0.553
2025,36,PF,21.2,0.331
2025,23,PF,18.5,0.329
2025,22,C,18.2,0.12
2025,23,SG,20.1,0.503
2025,21,SF,11.3,0.503
2025,24,SF,11.3,0.4
2025,25,SG,13.5,0.692
2025,30,C,23.4,0.244
2025,25,PG,5.6,0.846
2025,27,C,15.6,0.031
2025,27,C,15.9,0.034
2025,27,C,14.8,0.02
2025,23,SF,11.6,0.35
2025,29,PG,13.6,0.396
2025,21,C,14.9,0.425
2025,31,PF,10.1,0.722
2025,31,PF,12.2,0.679
2025,31,PF,9.2,0.746
2025,25,SG,3.7,0.75
2025,19,SF,4.3,0.182
2025,26,PG,12.4,0.308
2025,29,SF,9.7,0.609
2025,27,PG,18.3,0.328
2025,27,PG,19,0.324
2025,27,PG,16.3,0.339
2025,24,PF,7.4,0.27
2025,26,PG,8.9,0.119
2025,20,SG,9.8,0.543
2025,25,PG,19.9,0.451
2025,26,SG,8.7,0.296
2025,26,C,18.8,0.343
2025,21,PG,12.9,0.552
2025,21,SG,8.8,0.648
2025,34,PF,14.5,0.47
2025,39,C,10.8,0.021
2025,22,PG,18.1,0.348
2025,26,PG,30.7,0.263
2025,32,PF,10.2,0.352
2025,25,PG,16.8,0.57
2025,26,PG,12.1,0.472
2025,29,PF,17,0.346
2025,36,SG,10.8,0.672
2025,21,PG,6.5,0.478
2025,30,PF,10.9,0.516
2025,25,SG,9.2,0.856
2025,34,PF,12.4,0.483
2025,31,SG,10.7,0.491
2025,31,SG,10.8,0.482
2025,31,SG,10.2,0.524
2025,22,SG,15.1,0.46
2025,38,PF,13.6,0.653
2025,24,SG,7.8,0.589
2025,24,SG,15.9,0.512
2025,24,SG,13.3,0.551
2025,24,SG,18.8,0.48
2025,22,PF,14.4,0.474
2025,26,PF,13.6,0.429
2025,24,PG,21.8,0.559
2025,22,C,18.3,0.333
2025,32,SG,9.8,0.672
2025,35,PG,20,0.516
2025,22,SG,10.4,0.476
2025,24,SG,7.8,0.714
2025,24,SF,7.9,0.75
2025,30,SG,6.9,0.759
2025,32,PF,13.9,0.328
2025,26,C,18.9,0.04
2025,29,SG,16.5,0.327
2025,27,PF,12.8,0.842
2025,22,SG,9.6,0.597
2025,24,C,15.8,0.013
2025,23,PG,12.7,0.488
2025,20,PG,12.5,0.434
2025,21,PF,7.1,0.667
2025,25,SG,19.7,0.486
2025,32,SG,12.3,0.698
2025,28,SF,9.9,0.596
2025,28,PG,12.2,0.675
2025,34,PG,13.5,0.534
2025,19,SF,11.1,0.363
2025,31,PF,19.8,0.022
2025,22,C,19.2,0.34
2025,21,SG,7.9,0.469
2025,21,SG,7.7,0.474
2025,38,C,12.9,0.681
2025,24,SG,13.8,0.419
2025,22,SF,9.4,0.842
2025,21,SF,7.1,0.71
2025,26,SG,11.3,0.647
2025,26,SG,10.6,0.661
2025,26,SG,12,0.633
2025,26,C,18.2,0.656
2025,27,SF,15.9,0.509
2025,27,SF,15.8,0.502
2025,27,SF,16.2,0.522
2025,24,PG,16,0.695
2025,24,PG,16.4,0.696
2025,24,PG,11.1,0.667
2025,22,PF,11.1,0.011
2025,37,SF,2.4,0.652
2025,27,SF,16,0.345
2025,22,SF,10.9,0.25
2025,32,SG,19.9,0.38
2025,27,PF,16.6,0.466
2025,22,SG,14.7,0.373
2025,23,SG,8.6,0.386
2025,20,PF,9.3,0.477
2025,25,C,19.6,0.321
2025,26,PG,14.7,0.328
2025,34,PG,9.8,0.556
2025,24,C,18.5,0.01
2025,20,SG,7.1,0.478
2025,40,SF,22.7,0.312
2025,23,SF,14.3,0.258
2025,27,SG,7.9,0.564
2025,23,PG,-0.1,0.7
2025,27,SG,21,0.409
2025,25,SG,14,0.793
2025,20,SG,7.1,0.423
2025,20,SG,10.6,0.263
2025,20,SG,6.9,0.438
2025,28,PF,18.2,0.546
2025,37,PF,0,0.273
2025,23,SF,17.3,0.26
2025,25,SF,15.6,0.356
2025,22,SG,10.4,0.515
2025,23,SF,19.1,0.269
2025,29,C,32,0.243
2025,22,SG,11.4,0.38
2025,22,SG,8.6,0.385
2025,22,SG,12.3,0.379
2025,27,SF,13.5,0.372
2025,23,SF,8.1,0.474
2025,26,SF,10.4,0.419
2025,24,PF,15.2,0.096
2025,24,C,20.2,0.046
2025,24,C,14.5,0.056
2025,24,C,24.8,0.041
2025,26,SG,20.6,0.444
2025,23,SF,4.5,0.5
2025,25,PG,16.3,0.202
2025,25,PG,13.8,0.28
2025,25,PG,18.8,0.152
2025,28,PG,14.5,0.587
2025,33,PG,10.9,0.695
2025,21,PF,13.8,0.557
2025,23,SG,11.8,0.661
2025,23,PG,11,0.767
2025,28,SG,13.6,0.606
2025,23,C,20,0.081
2025,27,SF,1.1,0.25
2025,25,SF,11,0.584
2025,33,PF,5.6,0.51
2025,21,SF,15.9,0.5
2025,23,SF,12.7,0.61
2025,25,SF,17.1,0.417
2025,23,PG,10.3,0.573
2025,24,C,13,0.061
2025,28,SG,12.1,0.681
2025,29,C,19.6,0.011
2025,24,PG,12.7,0.705
2025,22,PF,15.7,0.266
2025,29,PF,10.6,0.369
2025,29,PF,10.6,0.352
2025,29,PF,10.5,0.389
2025,28,PF,15.9,0.25
2025,29,C,16,0.171
2025,23,PF,12.6,0.421
2025,23,PF,13.5,0.373
2025,23,PF,10.2,0.542
2025,23,SG,10.2,0.468
2025,29,SF,17.3,0.438
2025,29,SF,18.4,0.43
2025,29,SG,15.9,0.45
2025,24,SG,12.7,0.532
2025,32,SG,11.9,0.5
2025,31,C,10.6,0.143
2025,31,C,13.1,0.146
2025,31,C,5.3,0.136
2025,33,SF,20.5,0.305
2025,25,SF,-2.3,0.5
2025,30,SG,15.2,0.474
2025,30,SF,14.4,0.497
2025,30,SG,16.2,0.452
2025,22,SF,9.9,0.463
2025,22,SF,10.6,0.49
2025,24,PF,11.1,0.667
2025,34,PG,21.3,0.528
2025,21,SF,9.8,0.296
2025,28,C,17,0.018
2025,36,C,14.8,0.482
2025,36,PF,16.2,0.583
2025,38,PG,9.8,0.752
2025,29,PF,12.3,0.636
2025,25,PF,19.7,0.573
2025,28,SG,12,0.395
2025,28,SG,10.5,0.385
2025,28,SG,13.7,0.404
2025,23,PG,13.3,0.373
2025,27,PF,15.6,0.57
2025,27,SF,15.1,0.306
2025,29,SF,9.6,0.339
2025,29,SF,10.1,0.375
2025,29,SF,8,0.222
2025,29,SF,11.3,0.465
2025,29,SF,11.7,0.463
2025,29,SF,9.5,0.474
2025,21,SF,9.1,0.311
2025,21,SF,12.8,0.5
2025,21,SF,9,0.306
2025,24,PF,10.2,0.289
2025,24,PF,12.3,0.212
2025,24,SF,7.9,0.363
2025,25,SG,10.9,0.606
2025,28,SG,11.2,0.848
2025,22,SF,13.6,0.338
2025,23,PF,15.6,0.281
2025,24,PG,19.5,0.438
2025,24,PG,12.6,0.57
2025,20,SG,15.2,0.485
2025,26,SG,-0.3,0.5
2025,33,PG,15.8,0.459
2025,32,PG,18.4,0.079
2025,23,SF,6.7,0.143
2025,24,PF,13.3,0.363
2025,33,SF,9.5,0.863
2025,22,SG,1.7,0.286
2025,28,PG,12.3,0.639
2025,28,PG,9.4,0.591
2025,28,PG,16.9,0.714
2025,28,PF,4,0.765
2025,26,SG,13.3,0.648
2025,28,SG,11.1,0.868
2025,31,PG,6.5,0.458
2025,31,PG,6.8,0.458
2025,33,SF,16.7,0.395
2025,33,SF,17.8,0.408
2025,33,SF,14.9,0.373
2025,22,SF,14,0.597
2025,24,PF,18.1,0.125
2025,25,SF,10.5,0.284
2025,21,SF,19.9,0.333
2025,36,PG,8.4,0.781
2025,36,PG,6.2,0.75
2025,36,PG,17.5,0.9
2025,28,SG,11.9,0.417
2025,28,SG,12.8,0.459
2025,28,SG,10.5,0.351
2025,25,SF,5,0.476
2025,24,SF,-1.7,1
2025,22,SF,15.5,0.478
2025,20,C,15.4,0.002
2025,22,SG,12,0.326
2025,26,PG,10.2,0.443
2025,26,PG,7.9,0.48
2025,26,PG,12.9,0.405
2025,28,SG,20.9,0.48
2025,23,PF,22.3,0.254
2025,25,PF,17.2,0.429
2025,23,PF,11.9,0.197
2025,26,SG,15,0.456
2025,22,SG,12.4,0.593
2025,26,SG,7.1,0.4
2025,23,SG,11,0.325
2025,23,SG,12.4,0.28
2025,23,SG,10,0.355
2025,25,PG,19.3,0.321
2025,35,PF,6,0.514
2025,35,PF,0,0.591
2025,35,PF,7.9,0.479
2025,29,PG,13.1,0.441
